competitor_id,name,country,country_code,abbreviation,gender
sr:competitor:44553,"Herbert, Pierre-Hugues",France,FRA,HER,
sr:competitor:256001,"Ho, Ray",Chinese Taipei,TPE,RAY,
sr:competitor:147104,"Romios, Matthew Christopher",Australia,AUS,ROM,
sr:competitor:47834,"Murray, Jamie",Great Britain,GBR,MUR,
sr:competitor:52263,"Hidalgo, Diego",Ecuador,ECU,HID,
sr:competitor:871495,"Michelsen, Alex",USA,USA,MIC,
sr:competitor:49306,"Reyes-Varela, Miguel",Mexico,MEX,REY,
sr:competitor:243522,"Paul, Jakub",Switzerland,CHE,PAU,
sr:competitor:1020797,"Trhac, Patrik",USA,USA,TRH,
sr:competitor:204495,"Vocel, Matej",Czechia,CZE,VOC,
sr:competitor:108755,"Jebens, Hendrik",Germany,DEU,JEB,
sr:competitor:52244,"Balaji, N. Sriram",India,IND,BAL,
sr:competitor:16198,"Escobar, Gonzalo",Ecuador,ECU,ESC,
sr:competitor:16573,"Demoliner, Marcelo",Brazil,BRA,DEM,
sr:competitor:918463,"Bollipalli, Rithvik Choudary",India,IND,BOL,
sr:competitor:16992,"Willis, Marcus",Great Britain,GBR,WIL,
sr:competitor:548169,"Yuzuki, Takeru",Japan,JPN,YUZ,
sr:competitor:15588,"Rojer, Jean-Julien",Netherlands,NLD,ROJ,
sr:competitor:48646,"Barrientos, Nicolas",Colombia,COL,BAR,
sr:competitor:98413,"Drzewiecki, Karol",Poland,POL,DRZ,
sr:competitor:450383,"Harper, Cleeve",Canada,CAN,HAR,
sr:competitor:125006,"Borges, Nuno",Portugal,PRT,BOR,
sr:competitor:157396,"Veldheer, Mick",Netherlands,NLD,VEL,
sr:competitor:16275,"Dodig, Ivan",Croatia,HRV,DOD,
sr:competitor:263865,"Reynolds, Finn",New Zealand,NZL,REY,
sr:competitor:280601,"Oberleitner, Neil",Austria,AUT,OBE,
sr:competitor:973963,"Watt, James",New Zealand,NZL,WAT,
sr:competitor:104847,"Sonego, Lorenzo",Italy,ITA,SON,
sr:competitor:209202,"Chandrasekar, Anirudh",India,IND,CHA,
sr:competitor:297502,"Bayldon, Blake",Australia,AUS,BAY,
sr:competitor:77223,"Martinez, Pedro",Spain,ESP,MAR,
sr:competitor:81763,"Jacq, Gregoire",France,FRA,JAC,
sr:competitor:110707,"Pichler, David",Austria,AUT,PIC,
sr:competitor:297448,"Kiger, Mac",USA,USA,KIG,
sr:competitor:422955,"Sanchez, Luca",France,FRA,SAN,
sr:competitor:25458,"Martinez, Luis David",Venezuela,VEN,MAR,
sr:competitor:223868,"Matuszewski, Piotr",Poland,POL,MAT,
sr:competitor:53759,"Prashanth, N. Vijay Sundar",India,IND,PRA,
sr:competitor:359602,"Musetti, Lorenzo",Italy,ITA,MUS,
sr:competitor:203681,"Korda, Sebastian",USA,USA,KOR,
sr:competitor:92845,"Goldhoff, George",USA,USA,GOL,
sr:competitor:126356,"Munar, Jaume",Spain,ESP,MUN,
sr:competitor:25021,"Cervantes, Inigo",Spain,ESP,CER,
sr:competitor:121032,"Stalder, Reese",USA,USA,STA,
sr:competitor:95923,"Paris, Joshua",Great Britain,GBR,PAR,
sr:competitor:55989,"Withrow, Jackson",USA,USA,WIT,
sr:competitor:240880,"Hilderbrand, Trey",USA,USA,HIL,
sr:competitor:808628,"Shelton, Ben",USA,USA,SHE,
sr:competitor:300540,"Machac, Tomas",Czechia,CZE,MAC,
sr:competitor:146040,"Gomez, Federico Agustin",Argentina,ARG,GOM,
sr:competitor:16854,"Molchanov, Denys",Ukraine,UKR,MOL,
sr:competitor:295508,"Vrbensky, Michael",Czechia,CZE,VRB,
sr:competitor:77011,"Martos Gornes, Sergio",Spain,ESP,MAR,
sr:competitor:77653,"Cornea, Victor Vlad",Romania,ROU,COR,
sr:competitor:380004,"Harper, Patrick",Australia,AUS,HAR,
sr:competitor:99377,"Kestelboim, Mariano",Argentina,ARG,KES,
sr:competitor:390480,"Watanabe, Seita",Japan,JPN,WAT,
sr:competitor:614090,"Pieczonka, Filip",Poland,POL,PIE,
sr:competitor:37637,"Zeballos, Federico",Bolivia,BOL,ZEB,
sr:competitor:731833,"Kielan, Szymon",Poland,POL,KIE,
sr:competitor:163538,"Donski, Alexander",Bulgaria,BGR,DON,
sr:competitor:296270,"Stevenson, David",Great Britain,GBR,STE,
sr:competitor:124708,"Cukierman, Daniel",Israel,ISR,CUK,
sr:competitor:113889,"Liutarevich, Ivan",Neutral,,LIU,
sr:competitor:339377,"Lehecka, Jiri",Czechia,CZE,LEH,
sr:competitor:122368,"Griekspoor, Tallon",Netherlands,NLD,GRI,
sr:competitor:111607,"Ingildsen, Johannes",Denmark,DNK,ING,
sr:competitor:128552,"Popyrin, Alexei",Australia,AUS,POP,
sr:competitor:55745,"Negritu, Christoph",Germany,DEU,NEG,
sr:competitor:305776,"Soto, Matias",Chile,CHL,SOT,
sr:competitor:322589,"Pujol Navarro, Bruno",Spain,ESP,PUJ,
sr:competitor:210736,"Lammons, Nathaniel",USA,USA,LAM,
sr:competitor:141882,"Blancaneaux, Geoffrey",France,FRA,BLA,
sr:competitor:628218,"Karol, Milos",Slovakia,SVK,KAR,
sr:competitor:73572,"Zormann, Marcelo",Brazil,BRA,ZOR,
sr:competitor:90110,"Serdarusic, Nino",Croatia,HRV,SER,
sr:competitor:310972,"Banthia, Siddhant",India,IND,BAN,
sr:competitor:145008,"Uesugi, Kaito",Japan,JPN,UES,
sr:competitor:90080,"Khachanov, Karen",Neutral,,KHA,
sr:competitor:534043,"Darderi, Luciano",Italy,ITA,DAR,
sr:competitor:113221,"Niklas-Salminen, Patrik",Finland,FIN,NIK,
sr:competitor:90798,"Halys, Quentin",France,FRA,HAL,
sr:competitor:98981,"Jecan, Alexandru",Romania,ROU,JEC,
sr:competitor:112061,"Walkow, Szymon",Poland,POL,WAL,
sr:competitor:94485,"Bonzi, Benjamin",France,FRA,BON,
sr:competitor:180104,"Reymond, Arthur",France,FRA,REY,
sr:competitor:58877,"Ramanathan, Ramkumar",India,IND,RAM,
sr:competitor:72420,"Merino, Alexander",Peru,PER,MER,
sr:competitor:220588,"Hsu, Yu Hsiou",Chinese Taipei,TPE,HSU,
sr:competitor:145936,"Kaliyanda Poonacha, Niki",India,IND,KAL,
sr:competitor:100069,"Sachko, Vitaliy",Ukraine,UKR,SAC,
sr:competitor:723013,"Pokorny, Lukas",Slovakia,SVK,POK,
sr:competitor:126622,"Ruehl, Tim",Germany,DEU,RUE,
sr:competitor:233144,"Duda, Filip",Czechia,CZE,DUD,
sr:competitor:272245,"Latinovic, Stefan",Serbia,SRB,LAT,
sr:competitor:263917,"Draxl, Liam",Canada,CAN,DRA,
sr:competitor:84671,"Britto, Luis",Brazil,BRA,BRI,
sr:competitor:59700,"Isaro, Pruchya",Thailand,THA,ISA,
sr:competitor:42151,"Nam, Ji Sung",Republic of Korea,KOR,NAM,
sr:competitor:54609,"Arias, Boris",Bolivia,BOL,ARI,
sr:competitor:52260,"Vega, David",Spain,ESP,VEG,
sr:competitor:396126,"Barnat, Jiri",Czechia,CZE,BAR,
sr:competitor:161220,"Pavel, Bogdan",Romania,ROU,PAV,
sr:competitor:405969,"Paulson, Andrew",Czechia,CZE,PAU,
sr:competitor:1015089,"Winegar, Theodore",USA,USA,WIN,
sr:competitor:132558,"Kolar, Zdenek",Czechia,CZE,KOL,
sr:competitor:58989,"Sabanov, Matej",Serbia,SRB,SAB,
sr:competitor:220590,"Huang, Tsung-Hao",Chinese Taipei,TPE,HUA,
sr:competitor:163540,"Hermans, Mats",Netherlands,NLD,HER,
sr:competitor:106755,"Rublev, Andrey",Neutral,,RUB,
sr:competitor:853643,"Romano, Filippo",Italy,ITA,ROM,
sr:competitor:43319,"Duran, Guillermo",Argentina,ARG,DUR,
sr:competitor:102339,"Van de Zandschulp, Botic",Netherlands,NLD,VAN,
sr:competitor:251091,"Noguchi, Rio",Japan,JPN,NOG,
sr:competitor:348308,"Sheehy, Joshua",USA,USA,SHE,
sr:competitor:85877,"Villanueva, Gonzalo",Argentina,ARG,VIL,
sr:competitor:106395,"Ricca, Giorgio",Italy,ITA,RIC,
sr:competitor:60920,"Nedunchezhiyan, Jeevan",India,IND,NED,
sr:competitor:124658,"Purcell, Max",Australia,AUS,PUR,
sr:competitor:272273,"Mansilla Diez, Mario",Spain,ESP,MAN,
sr:competitor:227358,"Walton, Adam",Australia,AUS,WAL,
sr:competitor:405977,"Schoolkate, Tristan",Australia,AUS,SCH,
sr:competitor:185434,"Rodriguez Taverna, Santiago",Argentina,ARG,ROD,
sr:competitor:95939,"Whitehouse, Mark",Great Britain,GBR,WHI,
sr:competitor:69362,"Mansouri, Skander",Tunisia,TUN,MAN,
sr:competitor:739643,"Loof, Thijmen",Netherlands,NLD,LOO,
sr:competitor:565070,"Monday, Johannus",Great Britain,GBR,MON,
sr:competitor:1025093,"Bianchi, Juan Jose",Venezuela,VEN,BIA,
sr:competitor:880089,"Pereira, Tiago",Portugal,PRT,PER,
sr:competitor:448357,"Spizzirri, Eliot",USA,USA,SPI,
sr:competitor:55293,"Sabanov, Ivan",Serbia,SRB,SAB,
sr:competitor:161448,"Jones, Ben",Great Britain,GBR,JON,
sr:competitor:16043,"Middelkoop, Matwe",Netherlands,NLD,MID,
sr:competitor:60614,"Poljak, David",Czechia,CZE,POL,
sr:competitor:82579,"Uchida, Kaichi",Japan,JPN,UCH,
sr:competitor:76361,"Kadhe, Arjun",India,IND,KAD,
sr:competitor:289021,"Charlton, Joshua",Australia,AUS,CHA,
sr:competitor:154490,"Pearson, Kody",Australia,AUS,PEA,
sr:competitor:283759,"Chidekh, Clement",France,FRA,CHI,
sr:competitor:44637,"Rodriguez, Cristian",Colombia,COL,ROC,
sr:competitor:294300,"Nakashima, Brandon",USA,USA,NAK,
sr:competitor:873679,"Bondioli, Federico",Italy,ITA,BON,
sr:competitor:530317,"Rincon, Daniel",Spain,ESP,RIN,
sr:competitor:78387,"Hach Verdugo, Hans",Mexico,MEX,HAC,
sr:competitor:50037,"Bortolotti, Marco",Italy,ITA,BOR,
sr:competitor:407791,"Mackinlay, James",Great Britain,GBR,MAC,
sr:competitor:392066,"Navone, Mariano",Argentina,ARG,NAV,
sr:competitor:115239,"Kaukovalta, Patrick",Finland,FIN,KAU,
sr:competitor:103625,"Geerts, Michael",Belgium,BEL,GEE,
sr:competitor:439474,"Jermar, Jan",Czechia,CZE,JER,
sr:competitor:169496,"Etcheverry, Tomas Martin",Argentina,ARG,ETC,
sr:competitor:378220,"Huertas Del Pino Cordova, Arklon",Peru,PER,HUE,
sr:competitor:686911,"Poljicak, Mili",Croatia,HRV,POL,
sr:competitor:197678,"Tsitsipas, Petros",Greece,GRC,TSI,
sr:competitor:53483,"Masur, Daniel",Germany,DEU,MAS,
sr:competitor:938667,"Schwaerzler, Joel",Austria,AUT,SCH,
sr:competitor:628034,"Kittay, Benjamin",USA,USA,KIT,
sr:competitor:505542,"Grevelius, Erik",Sweden,SWE,GRE,
sr:competitor:353586,"Fenty, Andrew",USA,USA,FEN,
sr:competitor:407783,"Fearnley, Jacob",Great Britain,GBR,FEA,
sr:competitor:130398,"Kecmanovic, Miomir",Serbia,SRB,KEC,
sr:competitor:250231,"Shimizu, Yuta",Japan,JPN,SHI,
sr:competitor:202735,"Carou, Ignacio",Uruguay,URY,CAR,
sr:competitor:39711,"Duckworth, James",Australia,AUS,DUC,
sr:competitor:457059,"Montes-de la Torre, Inaki",Spain,ESP,MON,
sr:competitor:111609,"Barroso Campos, Alberto",Spain,ESP,BAR,
sr:competitor:193912,"Dev, S D Prajwal",India,IND,DEV,
sr:competitor:305558,"Roncadelli, Franco",Uruguay,URY,RON,
sr:competitor:645442,"Genov, Anthony",Bulgaria,BGR,GEN,
sr:competitor:221556,"Alves, Mateus",Brazil,BRA,ALV,
sr:competitor:207777,"Imamura, Masamichi",Japan,JPN,IMA,
sr:competitor:927343,"Cadenasso, Gianluca",Italy,ITA,CAD,
sr:competitor:161868,"Huertas Del Pino, Connor",Peru,PER,HUE,
sr:competitor:51100,"Roca Batalla, Oriol",Spain,ESP,ROC,
sr:competitor:134602,"Perez, Alfredo",USA,USA,PER,
sr:competitor:82133,"Dellien, Murkel",Bolivia,BOL,DEV,
sr:competitor:381022,"Wendelken, Harry",Great Britain,GBR,WEN,
sr:competitor:99043,"Wang, Aoran",China,CHN,WAN,
sr:competitor:195458,"Added, Dan",France,FRA,ADD,
sr:competitor:219398,"Park, Uisung",Republic of Korea,KOR,PAR,
sr:competitor:64920,"Myneni, Saketh",India,IND,MYN,
sr:competitor:208123,"Maginley, Jody",Antigua and Barbuda,ATG,MAG,
sr:competitor:108767,"Hassan, Benjamin",Lebanon,LBN,HAS,
sr:competitor:95935,"Norrie, Cameron",Great Britain,GBR,NOR,
sr:competitor:450283,"Mpetshi Perricard, Giovanni",France,FRA,MPE,
sr:competitor:750283,"Isomura, Kokoro",Japan,JPN,ISO,
sr:competitor:437794,"Heinonen, Adam",Sweden,SWE,HEI,
sr:competitor:763106,"Barton, Hynek",Czechia,CZE,BAR,
sr:competitor:154570,"Orlov, Vladyslav",Ukraine,UKR,ORL,
sr:competitor:229024,"Zahraj, Patrick",Germany,DEU,ZAH,
sr:competitor:155860,"Lock, Courtney John",Zimbabwe,ZWE,LOC,
sr:competitor:38180,"Mena, Facundo",Argentina,ARG,MEN,
sr:competitor:312728,"Stewart, Hamish",Great Britain,GBR,STE,
sr:competitor:216502,"Broom, Charles",Great Britain,GBR,BRO,
sr:competitor:538457,"Chopra, Keshav",USA,USA,CHO,
sr:competitor:682903,"Nakagawa, Shunsuke",Japan,JPN,NAK,
sr:competitor:447733,"Hands, Tom",Great Britain,GBR,HAN,
sr:competitor:518742,"Westphal, Max",France,FRA,WES,
sr:competitor:244388,"Kalyanpur, Adil",India,IND,KAL,
sr:competitor:181384,"Sinha, Nitin Kumar",India,IND,SIN,
sr:competitor:212004,"Rodionov, Jurij",Austria,AUT,ROD,
sr:competitor:564952,"Kusuhara, Yusuke",Japan,JPN,KUS,
sr:competitor:104421,"Mies, Andreas",Germany,DEU,MIE,
sr:competitor:48225,"Dutra Da Silva, Daniel",Brazil,BRA,DUT,
sr:competitor:861461,"Caniato, Carlo Alberto",Italy,ITA,CAN,
sr:competitor:49417,"Tu, Li",Australia,AUS,TUL,
sr:competitor:412829,"Matsuda, Ryuki",Japan,JPN,MAT,
sr:competitor:763108,"Mensik, Jakub",Czechia,CZE,MEN,
sr:competitor:317355,"Somani, Parikshit",India,IND,SOM,
sr:competitor:246745,"Tajima, Naoki",Japan,JPN,TAJ,
sr:competitor:434058,"Boscardin Dias, Pedro",Brazil,BRA,BOS,
sr:competitor:395828,"Saraiva Dos Santos, Paulo Andre",Brazil,BRA,SAR,
sr:competitor:145122,"Martineau, Matteo",France,FRA,MAR,
sr:competitor:223788,"Stepanov, Roy",Israel,ISR,STE,
sr:competitor:120956,"Alcantara, Francis Casey",Philippines,PHL,ALC,
sr:competitor:321667,"Mayot, Harold",France,FRA,MAY,
sr:competitor:65606,"Agamenone, Franco",Italy,ITA,AGA,
sr:competitor:452787,"Kumar, Pranav",USA,USA,KUM,
sr:competitor:165234,"Vasa, Eero",Finland,FIN,VAS,
sr:competitor:182086,"Bass, Finn",Great Britain,GBR,BAS,
sr:competitor:79227,"Sinclair, Colin",Northern Mariana Islands,MNP,SIN,
sr:competitor:508498,"Rehberg, Max Hans",Germany,DEU,REH,
sr:competitor:671637,"Fils, Arthur",France,FRA,FIL,
sr:competitor:861511,"Engel, Justin",Germany,DEU,ENG,
sr:competitor:472975,"Bellucci, Mattia",Italy,ITA,BEL,
sr:competitor:204117,"Ugo Carabelli, Camilo",Argentina,ARG,UGO,
sr:competitor:255595,"Cerundolo, Francisco",Argentina,ARG,CER,
sr:competitor:399637,"Cobolli, Flavio",Italy,ITA,COB,
sr:competitor:373852,"Zink, Tyler",USA,USA,ZIN,
sr:competitor:217192,"Ouakaa, Aziz",Tunisia,TUN,OUA,
sr:competitor:163438,"Sun, Fajing",China,CHN,SUN,
sr:competitor:308834,"Schachter, Noah",USA,USA,SCH,
sr:competitor:1020369,"Oliveira, Bruno (2002)",Brazil,BRA,OLI,
sr:competitor:126402,"Denolly, Corentin",France,FRA,DEN,
sr:competitor:387066,"Forejtek, Jonas",Czechia,CZE,FOR,
sr:competitor:301896,"Ovcharenko, Oleksandr",Ukraine,UKR,OVC,
sr:competitor:809324,"Pacheco Mendez, Rodrigo",Mexico,MEX,PAC,
sr:competitor:722431,"Mikrut, Luka",Croatia,HRV,MIK,
sr:competitor:686709,"Simakin, Ilia",Neutral,,SIM,
sr:competitor:458575,"Agostini, Simone",Italy,ITA,AGO,
sr:competitor:342822,"Ichikawa, Taisei",Japan,JPN,ICH,
sr:competitor:96629,"Duncan, Scott",Great Britain,GBR,DUN,
sr:competitor:49172,"Dzumhur, Damir",Bosnia & Herzegovina,BIH,DZU,
sr:competitor:63438,"McDonald, Mackenzie",USA,USA,MCD,
sr:competitor:685379,"Ostapenkov, Daniil",Neutral,,OST,
sr:competitor:214824,"Aguilar, Juan Carlos",Canada,CAN,AGU,
sr:competitor:77501,"Wehnelt, Kai",Germany,DEU,WEH,
sr:competitor:628226,"Jans, Jarno",Netherlands,NLD,JAN,
sr:competitor:154740,"Delaney, Jesse",Australia,AUS,DEL,
sr:competitor:124656,"Vukic, Aleksandar",Australia,AUS,VUK,
sr:competitor:63606,"Rinderknech, Arthur",France,FRA,RIN,
sr:competitor:287543,"Hulme, Matt",Australia,AUS,HUL,
sr:competitor:42164,"Bangoura, Sekou",USA,USA,BAN,
sr:competitor:240264,"Reis Da Silva, Joao Lucas",Brazil,BRA,REI,
sr:competitor:16492,"Eysseric, Jonathan",France,FRA,EYS,
sr:competitor:92667,"Castelnuovo, Luca",Switzerland,CHE,CAS,
sr:competitor:759758,"Sakellaridis, Dimitris",Greece,GRC,SAK,
sr:competitor:369572,"Boulais, Justin",Canada,CAN,BOU,
sr:competitor:202681,"Marrero Curbelo, Ivan",Spain,ESP,MAR,
sr:competitor:52276,"Krueger, Mitchell",USA,USA,KRU,
sr:competitor:620338,"Sharipov, Marat",Neutral,,SHA,
sr:competitor:418167,"Garcian, Axel",France,FRA,GAR,
sr:competitor:210592,"Ribeiro, Eduardo",Brazil,BRA,RIB,
sr:competitor:121248,"Roveri Sidney, Gabriel",Brazil,BRA,ROV,
sr:competitor:273883,"Rocha, Francisco",Portugal,PRT,ROC,
sr:competitor:761136,"Basel, Valentin",Argentina,ARG,BAS,
sr:competitor:228372,"Soriano Barrera, Adria",Colombia,COL,SOR,
sr:competitor:497320,"Visker, Niels",Netherlands,NLD,VIS,
sr:competitor:733153,"Cook, Ethan",Australia,AUS,COO,
sr:competitor:603420,"Martin, Andres",USA,USA,MAR,
sr:competitor:312440,"Thomson, Connor",Great Britain,GBR,THO,
sr:competitor:1128937,"Miguel, Luis Guto",Brazil,BRA,MIG,
sr:competitor:69910,"Bergevi, Filip",Sweden,SWE,BER,
sr:competitor:310974,"De Jong, Jesper",Netherlands,NLD,DEJ,
sr:competitor:117916,"Shapovalov, Denis",Canada,CAN,SHA,
sr:competitor:112783,"Berrettini, Matteo",Italy,ITA,BER,
sr:competitor:195800,"Auger-Aliassime, Felix",Canada,CAN,AUG,
sr:competitor:136042,"Fritz, Taylor",USA,USA,FRI,
sr:competitor:39712,"Saville, Luke",Australia,AUS,SAV,
sr:competitor:254383,"Marozsan, Fabian",Hungary,HUN,MAR,
sr:competitor:75813,"Zhang, Zhizhen",China,CHN,ZHA,
sr:competitor:46391,"Struff, Jan-Lennard",Germany,DEU,STR,
sr:competitor:214182,"de Minaur, Alex",Australia,AUS,DE,
sr:competitor:102151,"Tabilo, Alejandro",Chile,CHL,TAB,
sr:competitor:515510,"Heide, Gustavo",Brazil,BRA,HEI,
sr:competitor:337601,"Bu, Yunchaokete",China,CHN,YUN,
sr:competitor:891669,"Tien, Learner",USA,USA,TIE,
sr:competitor:93589,"Kellovsky, Dominik",Czechia,CZE,KEL,
sr:competitor:88992,"Muller, Alexandre",France,FRA,MUL,
sr:competitor:452691,"Araujo, Pedro",Portugal,PRT,ARA,
sr:competitor:46259,"Neuchrist, Maximilian",Austria,AUT,NEU,
sr:competitor:660427,"Milavsky, Daniel",USA,USA,MIL,
sr:competitor:539343,"Kym, Jerome",Switzerland,CHE,KYM,
sr:competitor:286541,"Zhukayev, Beibit",Kazakhstan,KAZ,ZHU,
sr:competitor:83263,"Santillan, Akira",Japan,JPN,SAN,
sr:competitor:138528,"Mejia, Nicolas",Colombia,COL,MEJ,
sr:competitor:138712,"Oradini, Giovanni",Italy,ITA,ORA,
sr:competitor:156826,"van Wyk, Kris",South Africa,ZAF,VAN,
sr:competitor:79223,"Delaney, Jake",Australia,AUS,DEL,
sr:competitor:200873,"Forcano Aparicio, Ignasi",Spain,ESP,FOR,
sr:competitor:441576,"De la Fuente, Santiago",Argentina,ARG,DLF,
sr:competitor:588081,"Siniakov, Daniel",Czechia,CZE,SIN,
sr:competitor:63446,"Jung, Jason",Chinese Taipei,TPE,JUN,
sr:competitor:145112,"Huesler, Marc-Andrea",Switzerland,CHE,HUE,
sr:competitor:515478,"Sakellaridis, Stefanos",Greece,GRC,SAK,
sr:competitor:215778,"Izquierdo Luque, Rafael",Spain,ESP,IZQ,
sr:competitor:260947,"Falabella, Lautaro Agustin",Argentina,ARG,FAL,
sr:competitor:256481,"Marques, Diogo",Portugal,PRT,MAR,
sr:competitor:51304,"Stevenson, Kelsey",Canada,CAN,STE,
sr:competitor:177658,"Beauge, Maxence",France,FRA,BEA,
sr:competitor:170964,"Bittoun Kouzmine, Constantin",France,FRA,BIT,
sr:competitor:403357,"Thayne, Wally",USA,USA,THA,
sr:competitor:130442,"Rai, Ajeet",New Zealand,NZL,RAI,
sr:competitor:82157,"Marcondes, Igor",Brazil,BRA,MAR,
sr:competitor:292414,"Winter Lopez, Benjamin",Spain,ESP,WIN,
sr:competitor:552469,"Agafonov, Egor",Neutral,,AGA,
sr:competitor:378320,"Story, James",Great Britain,GBR,STO,
sr:competitor:983047,"Carboni, Lorenzo",Italy,ITA,CAR,
sr:competitor:376372,"Perez, Brandon",Venezuela,VEN,PER,
sr:competitor:494844,"Binda, Alexandr",Italy,ITA,BIN,
sr:competitor:337607,"Yang, Zijiang",China,CHN,YAN,
sr:competitor:152864,"Prihodko, Oleg",Ukraine,UKR,PRI,
sr:competitor:319353,"Barry, Charles",Ireland,IRL,BAR,
sr:competitor:362982,"Barreiros Reyes, Mateo",Brazil,BRA,BAR,
sr:competitor:256375,"Jeong, Yeongseok",Republic of Korea,KOR,JEO,
sr:competitor:297608,"Hazawa, Shinji",Japan,JPN,HAZ,
sr:competitor:679699,"Bertrand, Robin",France,FRA,BER,
sr:competitor:282361,"Golubev, Daniil",Neutral,,GOL,
sr:competitor:132834,"Barrios Vera, Marcelo Tomas",Chile,CHL,BAR,
sr:competitor:130436,"Habib, Hady",Lebanon,LBN,HAB,
sr:competitor:834054,"Prado Angelo, Juan Carlos",Bolivia,BOL,PRA,
